age,inso
0,467.932391
1000,466.81267
2000,467.529854
3000,469.709146
4000,473.194229
5000,477.486692
6000,482.132432
7000,486.618467
8000,490.59462
9000,493.636794
10000,495.610724
11000,496.515894
12000,496.409264
13000,495.593079
14000,494.427924
15000,493.217604
16000,492.392512
17000,492.238631
18000,492.901968
19000,494.525466
20000,497.003767
21000,500.181071
22000,503.740383
23000,507.388928
24000,510.643592
25000,513.237791
26000,514.79912
27000,515.175635
28000,514.246678
29000,512.185863
30000,509.053516
31000,505.347266
32000,501.284992
33000,497.404523
34000,494.00492
35000,491.463206
36000,489.915753
37000,489.483962
38000,490.069306
39000,491.442175
40000,493.262633
41000,495.145764
42000,496.555847
43000,497.145883
44000,496.514551
45000,494.508886
46000,491.090274
47000,486.516661
48000,481.065033
49000,475.383545
50000,469.971142
51000,465.55981
52000,462.621928
53000,461.739818
54000,463.111398
55000,466.953106
56000,473.12152
57000,481.349735
58000,491.146433
59000,501.855914
60000,512.753078
61000,522.907383
62000,531.653202
63000,538.154577
64000,541.89178
65000,542.559888
66000,540.093416
67000,534.601012
68000,526.713711
69000,516.89523
70000,506.055926
71000,495.047626
72000,484.64518
73000,475.671302
74000,468.762014
75000,464.326593
76000,462.65448
77000,463.823759
78000,467.569219
79000,473.564232
80000,481.277983
81000,489.827372
82000,498.530034
83000,506.476361
84000,512.820827
85000,516.982449
86000,518.55069
87000,517.259998
88000,513.406514
89000,507.301027
90000,499.59204
91000,491.070718
92000,482.593066
93000,474.879408
94000,468.734749
95000,464.705551
96000,463.097777
97000,464.207654
98000,467.946305
99000,474.035355
100000,482.179537
101000,491.707596
102000,501.922546
103000,512.101735
104000,521.466208
105000,529.183127
106000,534.814211
107000,537.841869
108000,538.037808
109000,535.542163
110000,530.570106
111000,523.460563
112000,515.019763
113000,505.726591
114000,496.243943
115000,487.361257
116000,479.411408
117000,472.871509
118000,468.087775
119000,465.054815
120000,463.811738
121000,464.319723
122000,466.258294
123000,469.342829
124000,473.434228
125000,477.973175
126000,482.810188
127000,487.68481
128000,492.266753
129000,496.429273
130000,500.156207
131000,503.121206
132000,505.441728
133000,507.060646
134000,507.80285
135000,507.777205
136000,506.985002
137000,505.360585
138000,503.02482
139000,500.227872
140000,496.876091
141000,493.492844
142000,490.238262
143000,487.390265
144000,485.359768
145000,484.477236
146000,484.825607
147000,486.793371
148000,490.308547
149000,495.280127
150000,501.572104
151000,508.785354
152000,516.277899
153000,523.570274
154000,529.866504
155000,534.354761
156000,536.487018
157000,535.74579
158000,531.63429
159000,524.465075
160000,514.299365
161000,501.808219
162000,487.950484
163000,473.724188
164000,460.122198
165000,448.480398
166000,439.544687
167000,434.094256
168000,432.74269
169000,435.589103
170000,442.482141
171000,453.241751
172000,466.924431
173000,482.660329
174000,499.411166
175000,515.714722
176000,530.385652
177000,542.396134
178000,550.634417
179000,554.667016
180000,554.396994
181000,549.843589
182000,541.73686
183000,530.971973
184000,518.453591
185000,505.359719
186000,492.90181
187000,481.784557
188000,473.058797
189000,467.191983
190000,464.516701
191000,465.167922
192000,469.083955
193000,475.698098
194000,484.634375
195000,494.985918
196000,505.850785
197000,516.218945
198000,525.189623
199000,531.68287
200000,535.177582
201000,535.214144
202000,531.568193
203000,524.651786
204000,514.987737
205000,503.23664
206000,490.571796
207000,477.892105
208000,466.17127
