age,AT
0,-1.6777472527472528
1000,-2.0760759493670884
2000,-2.3842933810375673
3000,-2.990188679245283
4000,-4.210263157894738
5000,-5.219485627836611
6000,-5.305297709923663
7000,-5.4094688922610015
8000,-5.358492307692308
9000,-5.401479198767334
10000,-5.061134185303515
11000,-5.312076069730587
12000,-5.524522691705791
13000,-5.385615141955836
14000,-4.282698961937716
15000,-2.9414285714285717
16000,-2.791875
17000,-3.8079595588235295
18000,-4.350106761565836
19000,-4.849877408056042
20000,-4.417039711191336
21000,-3.3463779527559057
22000,-3.665330739299611
23000,-4.747186932849365
24000,-5.271418439716312
25000,-5.63622144112478
26000,-6.0628205128205135
27000,-6.609652317880795
28000,-5.734254937163375
29000,-5.262073394495413
30000,-4.15292828685259
31000,-4.836783625730994
32000,-4.846471734892788
33000,-5.293339694656488
34000,-6.035081967213115
35000,-5.80314606741573
36000,-6.1487940630797775
37000,-5.809418386491557
38000,-6.066305970149253
39000,-5.81641074856046
40000,-6.570277264325323
41000,-6.495476635514018
42000,-7.0999279279279275
43000,-6.978138686131387
44000,-7.410716845878136
45000,-7.660177935943061
46000,-7.744422735346358
47000,-7.6147292418772565
48000,-7.64
49000,-7.6102737226277375
50000,-7.0615559772296015
51000,-6.947461240310077
52000,-6.8374950690335305
53000,-6.678493975903614
54000,-6.464118852459016
55000,-6.775676767676767
56000,-6.597319587628866
57000,-6.262547770700637
58000,-6.9185425101214575
59000,-7.116782786885246
60000,-7.386842105263158
61000,-7.204130879345604
62000,-7.32797131147541
63000,-7.360864197530864
64000,-7.888
65000,-7.970260521042084
66000,-7.678755186721991
67000,-6.352141230068337
68000,-5.684460431654676
69000,-4.784909560723515
70000,-3.6761756373937677
71000,-2.670359281437126
72000,-2.385782747603834
73000,-0.1275735294117647
74000,1.838468085106383
75000,2.843577981651376
76000,3.130952380952381
77000,2.541705069124424
78000,0.6789121338912134
79000,0.044819277108433725
80000,0.013170731707317074
81000,-0.1161065573770492
82000,-0.30877551020408167
83000,-0.463265306122449
84000,-0.9894422310756972
85000,-1.3782745098039215
86000,-1.8944999999999999
87000,-2.3216479400749064
88000,-2.6158364312267657
89000,-3.3860142348754447
90000,-3.8996875
91000,-4.6505369127516785
92000,-5.098957654723127
93000,-5.308543689320389
94000,-4.172666666666666
95000,-2.9613953488372093
96000,-2.165432098765432
97000,-2.65258064516129
98000,-3.0893675889328063
99000,-3.119003984063745
100000,-3.9857794676806084
101000,-4.567683823529412
102000,-4.876159420289855
103000,-4.665571955719558
104000,-5.316666666666666
105000,-5.498220640569395
106000,-3.647622950819672
107000,-4.681132075471698
108000,-5.110227272727273
109000,-5.76173285198556
110000,-6.48
111000,-5.247481203007519
112000,-6.0484837545126355
113000,-6.410851063829788
114000,-7.373489932885906
115000,-5.978592057761733
116000,-4.909199999999999
117000,-6.269664179104478
118000,-5.488503937007874
119000,-5.93715953307393
120000,-4.435387931034483
121000,-4.091101321585903
122000,-2.9557281553398056
123000,-3.4034597156398103
124000,-3.9838532110091744
125000,-4.299547511312217
126000,-4.428545454545454
127000,-5.179004329004329
128000,-5.399393939393939
129000,-6.418641975308642
130000,-6.776666666666666
131000,-6.855645161290323
132000,-7.5606106870229
133000,-7.582325581395349
134000,-7.853992395437262
135000,-8.484338235294118
136000,-8.40160447761194
137000,-8.243082706766918
138000,-8.46996268656717
139000,-8.22938223938224
140000,-7.983294117647059
141000,-7.8349397590361285
142000,-7.092553191489341
143000,-6.396874999999996
144000,-5.381024390243902
145000,-6.6588
146000,-6.460414746543779
147000,-6.415205479452055
148000,-5.569605911330049
149000,-6.345094339622642
150000,-7.146606334841629
151000,-7.13
152000,-7.047293577981652
153000,-7.126438356164384
154000,-6.985277777777777
155000,-6.451923076923077
156000,-5.05
157000,-6.122663316582914
158000,-3.986608187134503
159000,-2.207248322147651
160000,0.8225
161000,2.1518348623853214
162000,-0.41259842519685036
163000,-1.9321276595744679
164000,-2.742244897959184
165000,-2.382727272727273
166000,-3.7529411764705882
167000,-4.608963414634147
168000,-6.073932584269663
169000,-6.296480446927374
170000,-7.338743455497382
171000,-6.695248618784531
172000,-7.0784126984126985
173000,-6.337093023255814
174000,-6.01035294117647
175000,-7.557754010695187
176000,-6.868135593220339
177000,-6.044242424242424
178000,-4.643774834437086
179000,-4.340206896551724
180000,-2.9387692307692306
181000,-2.022727272727273
182000,-1.0749122807017544
183000,-1.775344827586207
184000,-1.4338260869565216
185000,-1.4293805309734515
186000,-1.8179999999999998
187000,-2.0677966101694913
188000,-2.174396551724138
189000,-3.5306451612903227
190000,-3.5547619047619046
191000,-4.0980468750000005
192000,-4.316511627906976
193000,-4.438372093023256
194000,-3.092672413793103
195000,-3.040258620689655
196000,-2.476
197000,-2.323148148148148
198000,-2.805945945945946
199000,-2.8381081081081083
200000,-3.0054054054054054
201000,-4.47404958677686
202000,-4.09672268907563
203000,-5.776183206106871
204000,-5.0988
205000,-5.872248062015504
206000,-5.562204724409448
207000,-5.24089430894309
208000,-3.611743119266055
209000,-6.248682170542636
210000,-7.308695652173913
211000,-7.01637037037037
212000,-7.844714285714286
213000,-7.675285714285714
214000,-7.804609929078014
215000,-8.075857142857142
216000,-7.654444444444445
217000,-7.135769230769231
218000,-5.514396551724138
219000,-6.385454545454545
220000,-7.594444444444444
221000,-6.991587301587302
222000,-7.33765625
223000,-7.1478399999999995
224000,-5.946315789473684
225000,-5.85283185840708
226000,-7.59267716535433
227000,-7.401774193548388
228000,-6.704915254237289
229000,-6.683333333333334
230000,-6.684358974358974
231000,-7.796854838709677
232000,-8.025
233000,-8.32111111111111
234000,-8.356141732283463
235000,-7.705
236000,-6.429357798165137
237000,-7.213478260869565
238000,-6.8225
239000,-6.058867924528302
240000,-6.643148148148148
241000,-7.813076923076923
242000,-8.546557377049181
243000,-8.734754098360655
244000,-8.70483606557377
245000,-7.652920353982301
246000,-7.648918918918919
247000,-7.89
248000,-6.639615384615385
249000,-7.462385321100918
250000,-7.6860550458715595
251000,-8.37217391304348
252000,-7.949189189189189
253000,-8.394736842105264
254000,-8.254999999999999
255000,-8.193783783783784
256000,-8.49424778761062
257000,-8.477053571428572
258000,-8.43290909090909
259000,-8.585135135135136
260000,-8.373818181818182
261000,-8.416666666666666
262000,-7.588543689320389
263000,-7.230099999999999
264000,-6.892164948453608
265000,-4.608292682926829
266000,-3.4882894736842105
267000,-2.25
268000,-0.542580645161291
269000,1.204909090909091
270000,1.74
271000,2.0815686274509804
272000,2.0366666666666666
273000,0.5257142857142857
274000,-0.09344827586206897
275000,0.48200000000000004
276000,-0.21293103448275863
277000,0.5898181818181818
278000,-0.5815254237288136
279000,-1.1854098360655736
280000,-1.16
281000,-1.7780952380952382
282000,-1.6333333333333335
283000,-3.3597142857142854
284000,-3.686619718309859
285000,-4.57
286000,-5.936341463414633
287000,-6.2175
288000,-6.174216867469879
289000,-5.48025
290000,-6.270487804878049
291000,-6.906896551724138
292000,-4.515945945945946
293000,-3.7578260869565216
294000,-4.707297297297297
295000,-4.2683333333333335
296000,-3.494242424242424
297000,-2.187377049180328
298000,-3.554029850746269
299000,-3.49
300000,-3.927536231884058
301000,-4.925945945945946
302000,-4.51
303000,-3.9391304347826086
304000,-3.8423529411764705
305000,-3.42
306000,-4.157142857142857
307000,-4.654999999999999
308000,-4.992027027027027
309000,-4.806575342465754
310000,-4.091714285714286
311000,-4.343239436619718
312000,-4.142142857142857
313000,-3.508059701492537
314000,-3.0377272727272726
315000,-4.298028169014085
316000,-2.6353846153846154
317000,-3.79
318000,-4.693947368421052
319000,-4.896986301369863
320000,-6.188313253012049
321000,-6.533793103448276
322000,-5.493703703703703
323000,-5.2958227848101265
324000,-5.639878048780488
325000,-6.554545454545455
326000,-5.455925925925926
327000,-5.819285714285714
328000,-5.669268292682927
329000,-7.254
330000,-6.049411764705882
331000,-7.8722916666666665
332000,-7.569574468085107
333000,-7.408437500000001
334000,-8.074639175257744
335000,-6.791348314606742
336000,-7.51
337000,-7.01
338000,-7.459673913043479
339000,-6.503488372093024
340000,-5.9072289156626505
341000,-4.7846052631578955
342000,-3.698169014084507
343000,-4.864868421052631
344000,-6.640813953488372
