age,CO2
398000,284.7
397000,284.7
396000,279.1
395000,267.81080854629244
394000,265.3390867197319
393000,262.8673648931713
392000,257.18825654923216
391000,258.5631043256998
390000,260.43283582089555
389000,261.4278606965174
388000,263.55134831460674
387000,238.01227758007118
386000,236.76672597864768
385000,226.02791095890413
384000,214.12377226119807
383000,202.49398273070696
382000,190.86419320021585
381000,182.97845617095507
380000,186.03122546881812
379000,189.0839947666812
378000,189.97243225158914
377000,190.7753763800602
376000,191.57832050853128
375000,190.69311485267588
374000,189.76106434155142
373000,188.82901383042693
372000,191.22779973649537
371000,194.47436716077536
370000,197.59865450399087
369000,200.72294184720639
368000,203.8472291904219
367000,206.1636848584325
366000,207.68194501436193
365000,209.1
364000,209.1
363000,209.1
362000,209.1
361000,209.1
360000,209.1
359000,208.81633237822348
358000,204.7639377814163
357000,200.7115431846091
356000,196.6591485878019
355000,192.6067539909947
354000,189.22666076173607
353000,188.82807794508415
352000,188.42949512843225
351000,205.0756846473029
350000,213.50725738396625
349000,207.995
348000,193.62
347000,194.53410247709536
346000,199.8615541228368
345000,205.18900576857823
344000,210.51645741431966
343000,215.8439090600611
342000,221.17136070580253
341000,210.01531929347826
340000,207.4677649456522
339000,204.9202105978261
338000,202.37265625
337000,199.8251019021739
336000,197.27754755434782
335000,194.87765640516386
334000,192.89155908639523
333000,192.15837563451777
332000,195.3638618840094
331000,200.79463627220917
330000,206.22541066040898
329000,211.6561850486088
328000,217.08695943680857
327000,222.51773382500838
326000,227.47240143369177
325000,228.18924731182796
324000,228.90609318996414
323000,227.2360385144429
322000,223.90729023383767
321000,220.57854195323245
320000,217.24979367262722
319000,221.31851503759398
318000,224.72861736334406
317000,228.01550553769204
316000,231.44867213906326
315000,236.32554321583777
314000,240.9763157894737
313000,233.29446308724832
312000,217.93045507584597
311000,216.67531572904707
310000,210.8330792682927
309000,212.1100085910653
308000,219.11172680412372
307000,225.6808842652796
306000,229.0275527864313
305000,230.30827275874006
304000,231.5889927310488
303000,231.27066547963497
302000,229.89074115290452
301000,228.51081682617405
300000,227.13089249944358
299000,226.4449041372351
298000,231.60481927710845
297000,236.21775761503565
296000,230.5793907971484
295000,230.93145029875066
294000,235.65714285714287
293000,232.28444444444443
292000,233.36152019002375
291000,236.92446555819475
290000,245.21895043731777
289000,249.9522637013503
288000,254.48661679135495
287000,260.98644067796613
286000,264.25787709497206
285000,271.74360655737706
284000,271.7066805845512
283000,264.1910229645094
282000,265.4408482142857
281000,270.64697833523377
280000,272.6629418472064
279000,265.6850480109739
278000,276.44789915966385
277000,272.24621848739497
276000,274.2806451612903
275000,266.53839285714287
274000,276.91080459770114
273000,268.86570397111916
272000,265.4377358490566
271000,274.63216374269007
270000,283.35830985915493
269000,261.31747572815533
268000,250.02108508014797
267000,238.69100323624596
266000,228.07611650485438
265000,213.32078071182548
264000,204.88558897243107
263000,201.47167235494882
262000,195.29709944751383
261000,191.86015037593984
260000,191.44725184577524
259000,193.4360471344403
258000,195.68564542046065
