age,AT
99000,-2.2649903023195437
100000,-1.7804293938038975
101000,-1.4935226780461497
102000,-1.517672886202379
103000,-1.4267852855615455
104000,-1.559605210285145
105000,-1.4292091944844982
106000,-1.576652898708472
107000,-2.2248239574295168
108000,-2.0585577373650095
109000,-2.5516773724354778
110000,-2.9678378025043273
111000,-2.876838958703985
112000,-3.40232885192028
113000,-3.9664055853774487
114000,-4.071677790221886
115000,-4.701642956927272
116000,-4.479869827241948
117000,-5.309027782982569
118000,-6.435676611856861
119000,-5.333637064768329
120000,-3.9556118991520695
121000,-5.783176044535845
122000,-5.920752422838395
123000,-5.113640317551987
124000,-6.0745208125177
125000,-6.751969008799368
126000,-7.169148021857668
127000,-7.366638515608796
128000,-6.684276143029137
129000,-6.440753044576614
130000,-7.67300355032086
131000,-8.104564321715278
132000,-8.16751311300757
133000,-8.171748048024103
134000,-7.932825527713551
135000,-7.255239838370334
136000,-7.140181795092604
137000,-7.466790909083312
138000,-7.849329079296141
139000,-7.238715922748436
140000,-7.319206317129088
141000,-6.614907400025678
142000,-6.137057382064074
143000,-6.008230820856862
144000,-6.600301768669099
145000,-7.075779377298692
146000,-7.059713332682025
147000,-6.707600664247782
148000,-6.67119769134727
149000,-6.466953815195501
150000,-6.534806569432696
151000,-6.869767351221956
152000,-7.009594030790045
153000,-6.923637826941971
154000,-6.895884328041485
155000,-6.920004352718208
156000,-7.281865049387263
157000,-7.753508143921226
158000,-8.089145416531753
159000,-8.099333611595592
160000,-7.963444122368366
161000,-7.754095593509519
162000,-7.7796108110535735
163000,-8.142315179902951
164000,-8.136378071230414
165000,-7.762957832857473
166000,-7.664007415508359
167000,-8.058910395105107
168000,-8.019489967389907
169000,-7.800777108388966
170000,-6.98639462892987
171000,-5.430124008809327
172000,-3.928811491675474
173000,-2.3528385551314592
174000,-1.8628716950613893
175000,-1.998131334127838
176000,-2.085095925733258
177000,-1.8550452869253988
178000,-1.21030306676377
179000,-1.4261060763740299
180000,-1.5029673335912819
181000,-1.2257010726671778
182000,-1.1429292566163738
183000,-0.5636552292195371
184000,-0.30384865153934193
185000,-0.333694060822177
186000,-0.4753837545506807
187000,-0.8483625544656517
188000,-0.8984055186511559
189000,-0.6574127475897618
190000,-1.253005532878636
191000,-1.851158112431549
192000,-2.6692603085786093
193000,-3.1196969550931586
194000,-3.2950903449506095
195000,-3.806461591443556
196000,-3.9741552221491743
197000,-4.098762333948783
198000,-4.861894775890702
199000,-4.902600585373638
200000,-5.230817719845915
201000,-6.059540330310886
202000,-6.078960494576456
203000,-4.823079691731572
204000,-3.447323561254694
205000,-4.017524238275173
206000,-4.672077788338199
207000,-5.1857284879440995
208000,-4.680517080233397
209000,-3.038628256425741
210000,-4.05868470534506
211000,-5.21335342663133
212000,-6.190501159917473
213000,-5.153566044979761
214000,-5.342048983355877
215000,-6.448824824506846
216000,-5.671896223707238
217000,-3.753867933733005
218000,-2.1946079157596126
219000,-0.45732818197163483
220000,-0.3636998887473779
221000,-1.105691845952163
222000,-1.1049275818888427
223000,-1.1222338967262668
224000,-0.8695763636823759
225000,-0.9427863992102721
226000,-0.8300997254932472
227000,-0.9903485261638758
228000,-0.9023328733286273
229000,-1.1148288192734428
230000,-1.3266296191543432
231000,-1.2295689306368434
